2024-07-29 11:10:43,047 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value-forwardee           ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 11:10:43,093 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-prefix                     ON xs:element           NAMED long                 OF TYPE xs:long             
2024-07-29 11:10:43,093 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-namespace                  ON xs:element           NAMED long                 OF TYPE xs:long             
2024-07-29 11:10:43,093 ERROR [STDERR] Неизвестный ИД системы; Номер строки42; Номер столбца17; INF Reusing loaded namespace documents
2024-07-29 11:10:43,093 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN fwd (EXSLT): attr-value-forwar ON xs:element           NAMED long                 OF TYPE xs:long             
2024-07-29 11:10:43,093 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value-forwardee           ON xs:element           NAMED long                 OF TYPE xs:long             
2024-07-29 11:10:43,093 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-suffix                     ON xs:element           NAMED long                 OF TYPE xs:long             
2024-07-29 11:10:43,093 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN set-type-specifics             ON xs:element           NAMED long                 OF TYPE xs:long             
2024-07-29 11:10:43,093 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-base-type                  ON xs:element           NAMED long                 OF TYPE xs:long             
2024-07-29 11:10:43,093 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN set-type-defaults              ON xs:element           NAMED long                 OF TYPE xs:long             
2024-07-29 11:10:43,093 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value: xs:fractionDigits  ON xs:element           NAMED long                 OF TYPE xs:long             
2024-07-29 11:10:43,093 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-base-type                  ON xs:element           NAMED long                 OF TYPE xs:long             
2024-07-29 11:10:43,093 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-prefix                     ON xs:element           NAMED long                 OF TYPE xs:long             
2024-07-29 11:10:43,093 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-namespace                  ON xs:element           NAMED long                 OF TYPE xs:long             
2024-07-29 11:10:43,093 ERROR [STDERR] Неизвестный ИД системы; Номер строки42; Номер столбца17; INF Reusing loaded namespace documents
2024-07-29 11:10:43,093 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN fwd (EXSLT): attr-value-forwar ON xs:element           NAMED long                 OF TYPE xs:long             
2024-07-29 11:10:43,093 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value-forwardee           ON xs:element           NAMED long                 OF TYPE xs:long             
2024-07-29 11:10:43,093 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-suffix                     ON xs:element           NAMED long                 OF TYPE xs:long             
2024-07-29 11:10:43,093 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN set-numeric-range              ON xs:element           NAMED long                 OF TYPE xs:long             
2024-07-29 11:10:43,093 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value: xs:minInclusive    ON xs:element           NAMED long                 OF TYPE xs:long             
2024-07-29 11:10:43,093 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-base-type                  ON xs:element           NAMED long                 OF TYPE xs:long             
2024-07-29 11:10:43,093 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-prefix                     ON xs:element           NAMED long                 OF TYPE xs:long             
2024-07-29 11:10:43,093 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN get-namespace                  ON xs:element           NAMED long                 OF TYPE xs:long             
2024-07-29 11:10:43,093 ERROR [STDERR] Неизвестный ИД системы; Номер строки42; Номер столбца17; INF Reusing loaded namespace documents
2024-07-29 11:10:43,093 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN fwd (EXSLT): attr-value-forwar ON xs:element           NAMED long                 OF TYPE xs:long             
2024-07-29 11:10:43,093 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value-forwardee           ON xs:element           NAMED long                 OF TYPE xs:long             
